index,id,country_id,season,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
0,2869,1729,2011/2012,2011-08-13 00:00:00,8655,8602,1,2
1,2870,1729,2011/2012,2011-08-13 00:00:00,9879,10252,0,0
2,2871,1729,2011/2012,2011-08-13 00:00:00,8650,8472,1,1
3,2872,1729,2011/2012,2011-08-15 00:00:00,8456,10003,4,0
4,2873,1729,2011/2012,2011-08-13 00:00:00,10261,9825,0,0
5,2874,1729,2011/2012,2011-08-13 00:00:00,10172,8559,0,4
6,2875,1729,2011/2012,2011-08-14 00:00:00,10194,8455,0,0
7,2876,1729,2011/2012,2012-01-11 00:00:00,8586,8668,2,0
8,2877,1729,2011/2012,2011-08-14 00:00:00,8659,10260,1,2
9,2878,1729,2011/2012,2011-08-13 00:00:00,8528,9850,1,1
10,2879,1729,2011/2012,2011-10-29 00:00:00,8455,9825,3,5
11,2880,1729,2011/2012,2011-10-29 00:00:00,8668,10260,0,1
12,2881,1729,2011/2012,2011-10-29 00:00:00,8456,8602,3,1
13,2882,1729,2011/2012,2011-10-29 00:00:00,9850,8655,3,3
14,2883,1729,2011/2012,2011-10-31 00:00:00,10194,10261,1,3
15,2884,1729,2011/2012,2011-10-29 00:00:00,8472,10252,2,2
16,2885,1729,2011/2012,2011-10-29 00:00:00,10003,8559,3,1
17,2886,1729,2011/2012,2011-10-30 00:00:00,8586,10172,3,1
18,2887,1729,2011/2012,2011-10-29 00:00:00,8659,8650,0,2
19,2888,1729,2011/2012,2011-10-29 00:00:00,8528,9879,0,2
20,2889,1729,2011/2012,2011-11-05 00:00:00,9825,8659,3,0
21,2890,1729,2011/2012,2011-11-05 00:00:00,10252,9850,3,2
22,2891,1729,2011/2012,2011-11-05 00:00:00,8655,8455,0,1
23,2892,1729,2011/2012,2011-11-06 00:00:00,8559,10194,5,0
24,2893,1729,2011/2012,2011-11-06 00:00:00,9879,8586,1,3
25,2894,1729,2011/2012,2011-11-05 00:00:00,8650,10003,0,0
26,2895,1729,2011/2012,2011-11-05 00:00:00,10260,8472,1,0
27,2896,1729,2011/2012,2011-11-05 00:00:00,10261,8668,2,1
28,2897,1729,2011/2012,2011-11-05 00:00:00,10172,8456,2,3
29,2898,1729,2011/2012,2011-11-06 00:00:00,8602,8528,3,1
30,2899,1729,2011/2012,2011-11-20 00:00:00,8455,8650,1,2
31,2900,1729,2011/2012,2011-11-19 00:00:00,8668,8602,2,1
32,2901,1729,2011/2012,2011-11-19 00:00:00,8456,10261,3,1
33,2902,1729,2011/2012,2011-11-19 00:00:00,9850,9825,1,2
34,2903,1729,2011/2012,2011-11-19 00:00:00,10194,10172,2,3
35,2904,1729,2011/2012,2011-11-19 00:00:00,8472,9879,0,0
36,2905,1729,2011/2012,2011-11-19 00:00:00,10003,10260,0,1
37,2906,1729,2011/2012,2011-11-21 00:00:00,8586,10252,2,0
38,2907,1729,2011/2012,2011-11-19 00:00:00,8659,8559,2,1
39,2908,1729,2011/2012,2011-11-19 00:00:00,8528,8655,3,3
40,2909,1729,2011/2012,2011-11-26 00:00:00,9825,9879,1,1
41,2910,1729,2011/2012,2011-11-26 00:00:00,8559,8668,0,2
42,2911,1729,2011/2012,2011-11-26 00:00:00,8455,8602,3,0
43,2912,1729,2011/2012,2011-11-27 00:00:00,8650,8456,1,1
44,2913,1729,2011/2012,2011-11-26 00:00:00,10260,10261,1,1
45,2914,1729,2011/2012,2011-11-26 00:00:00,9850,10172,2,1
46,2915,1729,2011/2012,2011-11-26 00:00:00,10194,8655,3,1
47,2916,1729,2011/2012,2011-11-26 00:00:00,8472,8528,1,2
48,2917,1729,2011/2012,2011-11-27 00:00:00,10003,10252,0,0
49,2918,1729,2011/2012,2011-11-26 00:00:00,8659,8586,1,3
50,2919,1729,2011/2012,2011-12-03 00:00:00,10252,10260,0,1
51,2920,1729,2011/2012,2011-12-03 00:00:00,8655,10003,4,2
52,2921,1729,2011/2012,2011-12-04 00:00:00,8668,10194,0,1
53,2922,1729,2011/2012,2011-12-05 00:00:00,9879,8650,1,0
54,2923,1729,2011/2012,2011-12-03 00:00:00,8456,9850,5,1
55,2924,1729,2011/2012,2011-12-03 00:00:00,10261,8455,0,3
56,2925,1729,2011/2012,2011-12-03 00:00:00,10172,8659,1,1
57,2926,1729,2011/2012,2011-12-03 00:00:00,8586,8559,3,0
58,2927,1729,2011/2012,2011-12-03 00:00:00,8528,9825,0,4
59,2928,1729,2011/2012,2011-12-04 00:00:00,8602,8472,2,1
60,2929,1729,2011/2012,2011-12-10 00:00:00,9825,8668,1,0
61,2930,1729,2011/2012,2011-12-10 00:00:00,8559,10252,1,2
62,2931,1729,2011/2012,2011-12-12 00:00:00,8455,8456,2,1
63,2932,1729,2011/2012,2011-12-10 00:00:00,8650,10172,1,0
64,2933,1729,2011/2012,2011-12-10 00:00:00,10260,8602,4,1
65,2934,1729,2011/2012,2011-12-10 00:00:00,9850,10261,4,2
66,2935,1729,2011/2012,2011-12-11 00:00:00,10194,8586,2,1
67,2936,1729,2011/2012,2011-12-11 00:00:00,8472,8655,2,1
68,2937,1729,2011/2012,2011-12-10 00:00:00,10003,9879,2,0
69,2938,1729,2011/2012,2011-12-10 00:00:00,8659,8528,1,2
70,2939,1729,2011/2012,2011-12-18 00:00:00,10252,8650,0,2
71,2940,1729,2011/2012,2011-12-17 00:00:00,8655,8659,1,2
72,2941,1729,2011/2012,2011-12-17 00:00:00,8668,9850,1,1
73,2942,1729,2011/2012,2011-12-17 00:00:00,9879,8559,2,0
74,2943,1729,2011/2012,2011-12-18 00:00:00,8456,9825,1,0
75,2944,1729,2011/2012,2011-12-17 00:00:00,10261,10003,0,0
76,2945,1729,2011/2012,2011-12-18 00:00:00,10172,10260,0,2
77,2946,1729,2011/2012,2011-12-18 00:00:00,8586,8472,1,0
78,2947,1729,2011/2012,2011-12-17 00:00:00,8528,8455,1,1
79,2948,1729,2011/2012,2011-12-17 00:00:00,8602,10194,1,2
80,2949,1729,2011/2012,2011-12-21 00:00:00,10172,8472,2,3
81,2950,1729,2011/2012,2011-12-22 00:00:00,8586,8455,1,1
82,2951,1729,2011/2012,2011-12-21 00:00:00,8528,8650,0,0
83,2952,1729,2011/2012,2011-12-20 00:00:00,8602,9850,2,2
84,2953,1729,2011/2012,2011-12-21 00:00:00,10252,9825,1,2
85,2954,1729,2011/2012,2011-12-20 00:00:00,8655,8559,1,2
86,2955,1729,2011/2012,2011-12-21 00:00:00,8668,10003,1,0
87,2956,1729,2011/2012,2011-12-21 00:00:00,9879,10260,0,5
88,2957,1729,2011/2012,2011-12-21 00:00:00,8456,10194,3,0
89,2958,1729,2011/2012,2011-12-21 00:00:00,10261,8659,2,3
90,2959,1729,2011/2012,2011-12-27 00:00:00,9825,8602,1,1
91,2960,1729,2011/2012,2011-12-26 00:00:00,8559,10261,0,2
92,2961,1729,2011/2012,2011-12-26 00:00:00,8455,9879,1,1
93,2962,1729,2011/2012,2011-12-26 00:00:00,8650,8655,1,1
94,2963,1729,2011/2012,2011-12-26 00:00:00,10260,8528,5,0
95,2964,1729,2011/2012,2011-12-27 00:00:00,9850,8586,0,2
96,2965,1729,2011/2012,2011-12-26 00:00:00,10194,10252,0,0
97,2966,1729,2011/2012,2011-12-26 00:00:00,8472,8668,1,1
98,2967,1729,2011/2012,2011-12-27 00:00:00,10003,10172,1,1
99,2968,1729,2011/2012,2011-12-26 00:00:00,8659,8456,0,0
100,2969,1729,2011/2012,2011-12-31 00:00:00,9825,10172,1,0
