index,id,team_api_id,team_long_name
0,1,9987,KRC Genk
1,2,9993,Beerschot AC
2,3,10000,SV Zulte-Waregem
3,4,9994,Sporting Lokeren
4,5,9984,KSV Cercle Brugge
5,6,8635,RSC Anderlecht
6,7,9991,KAA Gent
7,8,9998,RAEC Mons
8,9,7947,FCV Dender EH
9,10,9985,Standard de Liège
10,11,8203,KV Mechelen
11,12,8342,Club Brugge KV
12,13,9999,KSV Roeselare
13,14,8571,KV Kortrijk
14,15,4049,Tubize
15,16,9996,Royal Excel Mouscron
16,17,10001,KVC Westerlo
17,18,9986,Sporting Charleroi
18,614,9997,Sint-Truidense VV
19,1034,9989,Lierse SK
20,1042,6351,KAS Eupen
21,1513,1773,Oud-Heverlee Leuven
22,2004,8475,Waasland-Beveren
23,2476,8573,KV Oostende
24,2510,274581,Royal Excel Mouscron
25,3457,10260,Manchester United
26,3458,10261,Newcastle United
27,3459,9825,Arsenal
28,3460,8659,West Bromwich Albion
29,3461,8472,Sunderland
30,3462,8650,Liverpool
31,3463,8654,West Ham United
32,3464,8528,Wigan Athletic
33,3465,10252,Aston Villa
34,3466,8456,Manchester City
35,3467,8668,Everton
36,3468,8655,Blackburn Rovers
37,3469,8549,Middlesbrough
38,3470,8586,Tottenham Hotspur
39,3471,8559,Bolton Wanderers
40,3472,10194,Stoke City
41,3473,8667,Hull City
42,3474,9879,Fulham
43,3475,8455,Chelsea
44,3476,8462,Portsmouth
45,4218,8658,Birmingham City
46,4225,8602,Wolverhampton Wanderers
47,4234,8191,Burnley
48,4996,8483,Blackpool
49,5744,10003,Swansea City
50,5747,10172,Queens Park Rangers
51,5756,9850,Norwich City
52,6504,8466,Southampton
53,6509,9798,Reading
54,7261,9826,Crystal Palace
55,7276,8344,Cardiff City
56,8021,8197,Leicester City
57,8779,8678,Bournemouth
58,8784,9817,Watford
59,9537,8583,AJ Auxerre
60,9538,9830,FC Nantes
61,9539,9827,Girondins de Bordeaux
62,9540,7819,SM Caen
63,9541,9746,Le Havre AC
64,9542,9831,OGC Nice
65,9543,8682,Le Mans FC
66,9544,8689,FC Lorient
67,9545,9748,Olympique Lyonnais
68,9546,9941,Toulouse FC
69,9547,9829,AS Monaco
70,9548,9847,Paris Saint-Germain
71,9549,8481,AS Nancy-Lorraine
72,9550,8639,LOSC Lille
73,9551,9851,Stade Rennais FC
74,9552,8592,Olympique de Marseille
75,9553,9874,FC Sochaux-Montbéliard
76,9554,9855,Grenoble Foot 38
77,9555,9873,Valenciennes FC
78,9556,9853,AS Saint-Étienne
79,10300,8588,RC Lens
80,10309,10249,Montpellier Hérault SC
81,10312,4170,US Boulogne Cote D'Opale
82,11074,108893,AC Arles-Avignon
83,11076,8521,Stade Brestois 29
84,11817,8576,AC Ajaccio
85,11822,4087,Évian Thonon Gaillard FC
86,11825,9836,Dijon FCO
87,12587,9837,Stade de Reims
88,12594,7794,SC Bastia
89,12595,10242,ES Troyes AC
90,13343,9747,En Avant de Guingamp
91,14106,8550,FC Metz
92,14868,8121,Angers SCO
